predict_update with Particles;base;100;18830;22488;33883.9713;0.5557;1.0000
predict_update with Particles;base;200;37330;44888;66109.8887;0.5647;1.0000
predict_update with Particles;base;400;74330;89688;132511.6166;0.5609;1.0000
predict_update with Particles;base;800;148330;179288;261391.0454;0.5675;1.0000
predict_update with Particles;base;1600;296330;358488;550584.5888;0.5382;1.0000
predict_update with Particles;base;3200;592330;716888;1008502.4412;0.5873;1.0000
predict_update with Particles;base;6400;1184330;1433688;2023011.0688;0.5854;1.0000
predict_update with Particles;base;12800;2368330;2867288;4049859.4934;0.5848;1.0000
predict_update with Particles;base;25600;4736330;5734488;8088481.1676;0.5856;1.0000
predict_update with Particles;functions inplace;100;16730;4888;33076.5816;0.5058;1.0244
predict_update with Particles;functions inplace;200;33130;9688;64998.6493;0.5097;1.0171
predict_update with Particles;functions inplace;400;65930;19288;127444.5055;0.5173;1.0398
predict_update with Particles;functions inplace;800;131530;38488;250695.2478;0.5247;1.0427
predict_update with Particles;functions inplace;1600;262730;76888;503584.4080;0.5217;1.0933
predict_update with Particles;functions inplace;3200;525130;153688;981609.5558;0.5350;1.0274
predict_update with Particles;functions inplace;6400;1049930;307288;1958555.6632;0.5361;1.0329
predict_update with Particles;functions inplace;12800;2099530;614488;3934652.6602;0.5336;1.0293
predict_update with Particles;functions inplace;25600;4198730;1228888;7841957.8542;0.5354;1.0314
predict_update with Particles;sine approximation;100;16730;4888;20218.5037;0.8275;1.6759
predict_update with Particles;sine approximation;200;33130;9688;39888.4532;0.8306;1.6574
predict_update with Particles;sine approximation;400;65930;19288;79505.1413;0.8293;1.6667
predict_update with Particles;sine approximation;800;131530;38488;157801.0043;0.8335;1.6565
predict_update with Particles;sine approximation;1600;262730;76888;311497.0843;0.8434;1.7675
predict_update with Particles;sine approximation;3200;525130;153688;609243.8680;0.8619;1.6553
predict_update with Particles;sine approximation;6400;1049930;307288;1214705.1654;0.8643;1.6654
predict_update with Particles;sine approximation;12800;2099530;614488;2447382.2742;0.8579;1.6548
predict_update with Particles;sine approximation;25600;4198730;1228888;4873834.2082;0.8615;1.6596
predict_update with Particles;basic simd;100;16730;4888;15948.2676;1.0490;2.1246
